id,name,tags,,complexity,solutions
4A,Watermelon,"brute force, math",,800,x374499
71A,Way Too Long Words,strings,,800,x274818
231A,Team,"brute force, greedy",,800,x229999
1A,Theatre Square,math,,1000,x201089
158A,Next Round,"*special problem, implementation",,800,x184001
50A,Domino piling,"greedy, math",,800,x178957
282A,Bit++,implementation,,800,x177223
263A,Beautiful Matrix,implementation,,800,x174914
112A,Petya and Strings,"implementation, strings",,800,x165330
339A,Helpful Maths,"greedy, implementation, sortings, strings",,800,x155730
281A,Word Capitalization,"implementation, strings",,800,x152951
118A,String Task,"implementation, strings",,1000,x149106
236A,Boy or Girl,"brute force, implementation, strings",,800,x148462
266A,Stones on the Table,implementation,,800,x140812
791A,Bear and Big Brother,implementation,,800,x135962
546A,Soldier and Bananas,"brute force, implementation, math",,800,x128664
617A,Elephant,math,,800,x127398
69A,Young Physicist,"implementation, math",,1000,x124424
59A,Word,"implementation, strings",,800,x123976
96A,Football,"implementation, strings",,900,x120345
977A,Wrong Subtraction,implementation,,800,x119348
110A,Nearly Lucky Number,implementation,,800,x109599
734A,Anton and Danik,"implementation, strings",,800,x107166
116A,Tram,implementation,,800,x105978
41A,Translation,"implementation, strings",,800,x104403
266B,Queue at the School,"constructive algorithms, graph matchings, implementation, shortest paths",,800,x103192
677A,Vanya and Fence,implementation,,800,x100263
58A,Chat room,"greedy, strings",,1000,x100203
271A,Beautiful Year,brute force,,800,x99865
122A,Lucky Division,"brute force, number theory",,1000,x95455
160A,Twins,"greedy, sortings",,900,x91664
1030A,In Search of an Easy Problem,implementation,,800,x91304
467A,George and Accommodation,implementation,,800,x89870
136A,Presents,implementation,,800,x87721
344A,Magnets,implementation,,800,x87562
486A,Calculating Function,"implementation, math",,800,x84722
200B,Drinks,"implementation, math",,800,x84163
318A,Even Odds,math,,900,x83997
133A,HQ9+,implementation,,900,x82845
61A,Ultra-Fast Mathematician,implementation,,800,x82509
705A,Hulk,implementation,,800,x79941
228A,Is your horseshoe on the other hoof?,implementation,,800,x79184
405A,Gravity Flip,"greedy, implementation, sortings",,900,x75019
469A,I Wanna Be the Guy,"greedy, implementation",,800,x73278
479A,Expression,"brute force, math",,1000,x72319
144A,Arrival of the General,implementation,,800,x71544
1328A,Divisibility Problem,math,,800,x71273
148A,Insomnia cure,"constructive algorithms, implementation, math",,800,x70493
580A,Kefa and First Steps,"brute force, dp, implementation",,900,x70203
158B,Taxi,"*special problem, greedy, implementation",,1100,x69820
208A,Dubstep,strings,,900,x69129
520A,Pangram,"implementation, strings",,800,x68922
131A,cAPS lOCK,"implementation, strings",,1000,x68103
443A,Anton and Letters,"constructive algorithms, implementation",,800,x67440
268A,Games,brute force,,800,x65870
25A,IQ test,brute force,,1300,x65869
996A,Hit the Lottery,"dp, greedy",,800,x65482
785A,Anton and Polyhedrons,"implementation, strings",,800,x64630
337A,Puzzles,greedy,,900,x63780
141A,Amusing Joke,"implementation, sortings, strings",,800,x63204
1335A,Candies and Two Sisters,math,,800,x62643
4C,Registration System,"data structures, hashing, implementation",,1300,x60142
510A,Fox And Snake,implementation,,800,x60106
230A,Dragons,"greedy, sortings",,1000,x59633
492B,Vanya and Lanterns,"binary search, implementation, math, sortings",,1200,x59425
155A,I_love_\%username\%,brute force,,800,x56837
427A,Police Recruits,implementation,,800,x56832
230B,T-primes,"binary search, implementation, math, number theory",,1300,x56185
339B,Xenia and Ringroad,implementation,,1000,x55880
750A,New Year and Hurry,"binary search, brute force, implementation, math",,800,x55863
581A,Vasya the Hipster,"implementation, math",,800,x54694
1352A,Sum of Round Numbers,"implementation, math",,800,x54672
732A,Buy a Shovel,"brute force, constructive algorithms, implementation, math",,800,x54019
723A,The New Year: Meeting Friends,"implementation, math, sortings",,800,x53651
451A,Game With Sticks,implementation,,900,x53336
1154A,Restoring Three Numbers,math,,800,x52442
1409A,Yet Another Two Integers Problem,"greedy, math",,800,x51399
1399A,Remove Smallest,"greedy, sortings",,800,x51248
189A,Cut Ribbon,"brute force, dp",,1300,x51129
151A,Soft Drinking,"implementation, math",,800,x48864
466A,Cheap Travel,implementation,,1200,x48706
472A,Design Tutorial: Learn from Math,"math, number theory",,800,x47924
432A,Choosing Teams,"greedy, implementation, sortings",,800,x47011
1367A,Short Substrings,"implementation, strings",,800,x46665
758A,Holiday Of Equality,"implementation, math",,800,x45876
1343B,Balanced Array,"constructive algorithms, math",,800,x45815
1512A,Spy Detected!,"brute force, implementation",,800,x45796
490A,Team Olympiad,"greedy, implementation, sortings",,800,x45578
455A,Boredom,dp,,1500,x45416
381A,Sereja and Dima,"greedy, implementation, two pointers",,800,x45030
706B,Interesting drink,"binary search, dp, implementation",,1100,x44664
32B,Borze,"expression parsing, implementation",,800,x44279
313A,Ilya and Bank Account,"implementation, number theory",,900,x44207
1560A,Dislike of Threes,implementation,,800,x44114
630A,Again Twenty Five!,number theory,,800,x44089
579A,Raising Bacteria,bitmasks,,1000,x43739
703A,Mishka and Game,implementation,,800,x43393
1374A,Required Remainder,math,,800,x42751
1367B,Even Array,"greedy, math",,800,x42648
1475A,Odd Divisor,"math, number theory",,900,x42633
